City, Country,Continent,Population (2024),Population (2023),Growth Rate
Tiruppur,India,Asia,1731862,1677173,0.0326
Southampton,United Kingdom,,959202,951531,0.0081
Seongnam,South Korea,Asia,942159,941508,0.0007
Thiruvananthapuram,India,Asia,2984154,2891119,0.0322
Marrakech,Morocco,Africa,1067172,1049690,0.0167
Surat,India,Asia,8330528,8064949,0.0329
Tiruchirappalli,India,Asia,1244978,1221960,0.0188
Dengzhou,China,Asia,783041,759150,0.0315
Bazhong,China,Asia,1225591,1175989,0.0422
Kitwe,Zambia,Africa,792350,762981,0.0385
Blantyre Limbe,Malawi,Africa,1070625,1030974,0.0385
Glasgow,United Kingdom,,1708147,1698088,0.0059
Bhopal,India,Asia,2624865,2564502,0.0235
Suweon,South Korea,Asia,1378229,1365352,0.0094
Yichang,China,Asia,1758100,1711244,0.0274
Liaoyang,China,Asia,916238,900692,0.0173
Enugu,Nigeria,Africa,875552,846560,0.0342
Amravati,India,Asia,808263,792620,0.0197
Barcelona,Spain,Europe,5711917,5687356,0.0043
Sulaimaniya,Iraq,Asia,823199,800793,0.028
Kananga,DR Congo,Africa,1738716,1664442,0.0446
Leon De Los Aldamas,Mexico,North America,1924435,1898749,0.0135
Vereeniging,South Africa,Africa,802900,793927,0.0113
Panzhihua,China,Asia,750036,738495,0.0156
Benguela,Angola,Africa,843207,809468,0.0417
Moscow,Russia,Asia,12712305,12680389,0.0025
Shijiazhuang,China,Asia,4454132,4370473,0.0191
Tyumen,Russia,Asia,916862,903815,0.0144
Suining Sichuan,China,Asia,765887,750097,0.0211
Solapur,India,Asia,1088131,1070322,0.0166
Astana,Kazakhstan,Asia,1324111,1291280,0.0254
Cali,Colombia,South America,2890433,2863730,0.0093
Hangzhou,China,Asia,8419842,8237206,0.0222
Tanger,Morocco,Africa,1348848,1314178,0.0264
Weihai,China,Asia,1465926,1429315,0.0256
Xalapa,Mexico,North America,822863,811041,0.0146
Guadalajara,Mexico,North America,5499678,5419880,0.0147
Shiraz,Iran,Asia,1742750,1720954,0.0127
Meishan,China,Asia,818037,796756,0.0267
Dandong,China,Asia,932648,917936,0.016
Denpasar,Indonesia,Asia,1075244,1053041,0.0211
Daegu,South Korea,Asia,2179929,2180997,-0.0005
Samara,Russia,Asia,1154451,1155732,-0.0011
Oran,Algeria,Africa,950768,935947,0.0158
Pathum Thani,Thailand,Asia,962126,950048,0.0127
Rostov on Don,Russia,Asia,1139641,1138854,0.0007
Hanchuan,China,Asia,818761,795835,0.0288
Laiwu,China,Asia,1009727,986248,0.0238
Ottawa,Canada,North America,1451571,1437188,0.01
Nanning,China,Asia,4291463,4191890,0.0238
Lokoja,Nigeria,Africa,885882,839046,0.0558
Liuan,China,Asia,1427894,1378077,0.0361
Antalya,Turkey,Asia,1372400,1347240,0.0187
Akure,Nigeria,Africa,773141,744371,0.0387
Ningbo,China,Asia,4659830,4537901,0.0269
Nouakchott,Mauritania,Africa,1552146,1491958,0.0403
Xinxiang,China,Asia,1160840,1140599,0.0177
Quzhou,China,Asia,902621,871457,0.0358
Yiwu,China,Asia,1525749,1483320,0.0286
New York,United States,North America,7931147,8133522,-0.0249
Daejon,South Korea,Asia,1581705,1577436,0.0027
Xuchang,China,Asia,1091744,1063876,0.0262
Niigata,Japan,Asia,795916,797865,-0.0024
Changzhi,China,Asia,930620,910743,0.0218
Taizhou Jiangsu,China,Asia,1477600,1446810,0.0213
Malang,Indonesia,Asia,933392,919443,0.0152
Chittagong,Bangladesh,Asia,5513609,5379660,0.0249
Sydney,Australia,Oceana,5184896,5120894,0.0125
Valencia,Venezuela,South America,2007265,1983445,0.012
Ilorin,Nigeria,Africa,1063713,1030498,0.0322
Monrovia,Liberia,Africa,1735365,1678020,0.0342
Singapore,Singapore,Asia,6119203,6080859,0.0063
Zhengzhou,China,Asia,6014887,5859272,0.0266
San Luis Potosi,Mexico,North America,1292133,1273325,0.0148
Havana,Cuba,Africa,2152518,2148930,0.0017
Mandalay,Myanmar,Asia,1563021,1531860,0.0203
Zaozhuang,China,Asia,1150859,1133629,0.0152
Ar Rayyan,Qatar,Asia,815869,798382,0.0219
Yuxi,China,Asia,774356,750102,0.0323
Cancun,Mexico,North America,1045005,1022604,0.0219
Mombasa,Kenya,Africa,1495223,1440396,0.0381
Londrina,Brazil,South America,932892,922425,0.0113
Weifang,China,Asia,2994537,2917819,0.0263
Trujillo,Peru,South America,916632,903896,0.0141
Taiyuan Shanxi,China,Asia,4226782,4145010,0.0197
Perth,Australia,Oceania,2143491,2117997,0.012
Houston,United States,North America,2305889,2304383,0.0007
Belgrade,Serbia,Europe,1410697,1408144,0.0018
Pizhou,China,Asia,1247177,1207275,0.0331
Qingyuan,China,Asia,778628,766782,0.0154
Linfen,China,Asia,978614,951822,0.0281
